Species List,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Herring Gull,1,0,0,0,0,0,4,1,10,0,0,1,1,0,0,0,41,0,0,1,0,0,0,1,0,0,11,16,9,30,25,18,2,5,15,8,15,1,14,7,7,1,9,2,3,1,3,4,4,10,0,3,0
Great Black-backed Gull,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,5,4,1,4,5,0,1,5,0,3,0,2,3,0,1,2,0,0,0,0,1,0,0,0,0,0
Least Tern,0,2,1,3,2,14,10,2,10,2,2,6,6,12,15,0,3,4,4,8,7,6,2,0,0,1,3,0,9,3,25,5,0,0,0,2,28,2,9,18,2,8,7,4,2,7,3,4,7,1,34,6,8
Gull-billed Tern,4,2,5,1,2,9,16,4,2,13,0,1,1,0,1,7,3,4,2,0,2,10,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Caspian Tern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Common Tern,1,0,2,1,6,6,27,11,1,6,1,7,6,2,3,3,2,1,1,0,0,1,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0
Forster's Tern,0,0,0,0,0,1,1,4,0,1,0,3,0,7,1,5,3,8,6,9,18,18,4,4,18,26,14,20,25,9,26,20,4,3,12,8,22,9,12,14,23,12,24,11,11,4,13,28,9,13,5,19,7
Royal Tern,7,18,61,47,15,39,30,65,48,83,12,46,29,2,11,6,7,3,27,11,25,41,1,2,21,6,22,79,40,44,53,114,59,54,66,45,33,44,45,63,38,76,39,28,49,62,31,92,38,27,6,50,14
Sandwich Tern,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Skimmer,0,0,2,2,1,0,1,4,1,4,1,5,0,0,0,1,0,1,0,0,0,13,1,4,3,4,6,2,0,0,0,2,1,1,7,4,1,0,0,0,12,0,1,3,1,0,2,0,0,0,5,30,2
Wood Stork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,2,0,4,3,1,7,5
Double-crested Cormorant,0,0,0,0,3,0,0,1,0,0,0,0,0,2,3,0,11,5,5,1,1,2,1,0,65,1,20,12,12,7,4,33,21,22,11,10,14,16,3,5,7,5,14,12,1,4,14,31,7,23,22,40,14
Anhinga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,1,4,1,1,2,2,1,0,2,2,4,1,6,8,6,2,5,10,9,4,6
Brown Pelican,0,0,0,0,0,0,20,0,2,31,0,1,3,0,0,0,0,0,0,1,24,32,0,3,10,1,56,13,48,33,57,58,130,49,74,42,37,57,26,21,48,60,50,60,27,84,26,92,47,28,27,66,15
Least Bittern,0,0,1,0,0,0,0,3,1,2,1,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0
Great Blue Heron,1,3,2,4,1,3,4,4,6,9,4,9,7,8,3,5,2,5,8,3,10,14,26,26,26,17,28,39,28,23,38,43,33,37,64,60,75,53,91,55,52,52,57,44,81,83,64,64,73,84,64,88,69
Great Egret,3,1,4,7,4,3,6,12,16,10,9,10,9,12,8,6,9,7,9,10,11,57,20,19,28,21,23,15,13,24,25,23,25,28,69,62,56,30,114,59,44,58,47,72,79,89,120,130,95,133,86,152,121
Snowy Egret,0,15,1,4,2,2,6,4,3,0,1,5,2,4,3,11,2,2,3,0,13,42,3,1,10,5,25,10,0,6,13,5,4,2,6,47,23,6,11,3,3,2,3,22,5,3,27,5,6,7,12,12,4
Little Blue Heron,0,13,2,1,3,0,3,4,6,3,0,9,2,3,3,5,0,4,3,3,4,7,1,10,10,12,7,5,4,3,1,10,1,5,8,10,8,5,8,3,6,21,8,20,18,11,14,6,6,7,9,28,25
Tricolored Heron,0,9,1,2,1,3,1,2,3,7,1,1,13,4,1,2,2,0,2,2,4,11,0,0,1,3,3,4,4,3,12,4,10,3,12,4,6,5,9,6,9,3,5,14,1,4,5,5,6,3,7,9,6
Cattle Egret,16,41,75,44,20,72,53,57,216,11,1,91,50,20,52,35,90,24,72,148,99,205,64,103,104,76,99,126,105,87,53,293,62,108,110,140,27,130,65,58,105,117,64,71,124,66,66,98,63,68,84,58,104
Green Heron,12,12,16,16,20,41,34,57,51,51,23,29,28,24,32,23,17,19,31,28,35,31,40,32,55,55,46,58,63,55,49,34,51,46,60,70,57,51,71,44,42,39,75,57,81,85,71,67,53,61,41,54,63
Black-crowned Night-Heron,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,3,1,1,0,3,0,3,0,1,1,0,0,1,0,3,1,1,2,2,6,1,4,1,1,2
Yellow-crowned Night-Heron,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,3,0,0
White Ibis,0,0,4,1,6,11,0,4,44,0,0,15,58,0,64,4,133,37,219,280,337,261,78,166,36,170,12,68,59,41,39,51,3,183,59,124,101,78,411,103,119,123,159,52,161,181,92,246,476,183,529,96,131
Glossy Ibis,0,2,2,0,3,14,4,9,2,8,0,0,8,2,2,0,1,1,4,0,19,11,2,10,2,14,1,5,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,2,2,4,1,1
Black Vulture,2,6,17,1,0,0,3,0,3,5,2,1,0,10,12,10,12,14,5,2,8,34,8,1,23,7,6,5,45,12,26,39,31,51,49,50,75,148,114,122,145,67,91,91,137,180,141,183,133,153,115,175,190
Turkey Vulture,16,22,6,2,4,5,15,12,20,32,14,15,10,17,29,21,24,26,17,23,30,75,27,49,95,64,72,104,148,95,159,173,140,180,287,281,400,441,457,368,417,493,506,374,691,748,673,744,763,753,729,656,754
unid. Black Vulture / Turkey Vulture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2
Osprey,2,7,4,4,5,2,7,8,7,3,3,3,16,3,1,7,10,4,3,5,6,28,4,11,9,6,10,7,11,7,11,8,17,13,15,10,10,8,18,10,7,16,13,11,15,16,13,23,30,29,33,22,22
Swallow-tailed Kite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9
Northern Harrier,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sharp-shinned Hawk,0,0,2,0,2,0,1,0,1,0,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,2,1,1,4,0,4,2,2,1,0,2,2,1,3,0,2,6,1,0,1,1,1,1,0,2,2,3,1
Cooper's Hawk,2,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,2,1,0,0,0,0,2,4,3,5,4,3,4,5,7,10,3,9,6,9,5,12,13,13,7,10,16,19,19,14,7,5,12,13
unid. Accipiter hawk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bald Eagle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,2,1,0,4,4,8,15,9,14,19,18,22,14,17,11,37
Mississippi Kite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,4,0,4,17,0,9,4,4,1,1,3,4,3,6,17,12,19,26,13,14,21,28
Red-shouldered Hawk,2,3,1,0,3,6,3,6,9,6,10,12,9,1,4,7,8,10,11,7,10,5,17,8,16,28,31,22,42,33,43,36,28,57,48,71,79,76,71,77,93,82,75,74,87,95,104,101,122,124,120,159,137
Broad-winged Hawk,3,0,2,5,3,1,4,2,1,3,5,5,0,1,4,3,1,1,1,1,2,0,4,3,4,4,2,6,5,5,3,5,8,6,3,9,6,5,4,9,5,5,7,3,4,12,11,17,7,15,13,13,9
Red-tailed Hawk,4,2,9,3,0,2,4,3,4,7,4,6,9,8,8,6,6,17,8,8,13,16,26,14,29,34,35,42,34,48,49,51,36,50,77,84,80,73,77,74,88,64,58,38,72,72,81,77,84,92,68,67,79
unid. Buteo hawk,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0
Barn Owl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Screech-Owl,0,0,1,0,0,0,1,0,3,2,0,1,1,0,2,0,0,0,2,1,0,0,1,2,0,3,2,0,1,1,1,1,0,1,4,2,4,2,6,7,4,0,3,0,3,4,3,1,6,3,1,3,1
Great Horned Owl,0,0,0,0,0,0,0,0,1,0,2,0,2,4,4,2,4,5,1,4,4,2,3,7,2,9,10,7,10,5,7,14,3,7,9,9,9,7,12,3,11,1,11,6,3,6,14,15,15,8,6,17,7
